Time/Date	degC	psi
37815.0000000000    1.0000000000   23.0000000000
37815.0416666667    1.0000000000   23.0401747656
37815.0833333333    1.0000000000   23.0803495311
37815.1250000000    1.0000000000   23.1205242967
37815.1666666667    1.0000000000   23.1606990622
37815.2083333333    1.0000000000   23.2008738278
37815.2500000000    1.0000000000   23.2410485934
37815.2916666667    1.0000000000   23.2812233589
37815.3333333333    1.0000000000   23.3213981245
37815.3750000000    1.0000000000   23.3615728900
37815.4166666667    1.0000000000   23.4017476556
37815.4583333333    1.0000000000   23.4419224211
37815.5000000000    1.0000000000   23.4820971867
37815.5416666667    1.0000000000   23.5222719523
37815.5833333333    1.0000000000   23.5624467178
37815.6250000000    1.0000000000   23.6026214834
37815.6666666667    1.0000000000   23.6427962489
37815.7083333333    1.0000000000   23.6829710145
37815.7500000000    1.0000000000   23.7231457801
37815.7916666667    1.0000000000   23.7633205456
37815.8333333333    1.0000000000   23.8034953112
37815.8750000000    1.0000000000   23.8436700767
37815.9166666667    1.0000000000   23.8838448423
37815.9583333333    1.0000000000   23.9240196078
37816.0000000000    1.0000000000   23.9641943734
37816.0416666667    1.0000000000   24.0043691390
37816.0833333333    1.0000000000   24.0445439045
37816.1250000000    1.0000000000   24.0847186701
37816.1666666667    1.0000000000   24.1248934356
37816.2083333333    1.0000000000   24.1650682012
37816.2500000000    1.0000000000   24.2052429668
37816.2916666667    1.0000000000   24.2454177323
37816.3333333333    1.0000000000   24.2855924979
37816.3750000000    1.0000000000   24.3257672634
37816.4166666667    1.0000000000   24.3659420290
37816.4583333333    1.0000000000   24.4061167945
37816.5000000000    1.0000000000   24.4462915601
37816.5416666667    1.0000000000   24.4864663257
37816.5833333333    1.0000000000   24.5266410912
37816.6250000000    1.0000000000   24.5668158568
37816.6666666667    1.0000000000   24.6069906223
37816.7083333333    1.0000000000   24.6471653879
37816.7500000000    1.0000000000   24.6873401535
37816.7916666667    1.0000000000   24.7275149190
37816.8333333333    1.0000000000   24.7676896846
37816.8750000000    1.0000000000   24.8078644501
37816.9166666667    1.0000000000   24.8480392157
37816.9583333333    1.0000000000   24.8882139812
37817.0000000000    1.0000000000   24.9283887468
37817.0416666667    1.0000000000   24.9685635124
37817.0833333333    1.0000000000   25.0087382779
37817.1250000000    1.0000000000   25.0489130435
37817.1666666667    1.0000000000   25.0890878090
37817.2083333333    1.0000000000   25.1292625746
37817.2500000000    1.0000000000   25.1694373402
37817.2916666667    1.0000000000   25.2096121057
37817.3333333333    1.0000000000   25.2497868713
37817.3750000000    1.0000000000   25.2899616368
37817.4166666667    1.0000000000   25.3301364024
37817.4583333333    1.0000000000   25.3703111679
37817.5000000000    1.0000000000   25.4104859335
37817.5416666667    1.0000000000   25.4506606991
37817.5833333333    1.0000000000   25.4908354646
