Time/Date	degC	psi
38113.704861	5.06	109.65
38113.725694	5.06	110.18
38113.746528	5.06	111.23
38113.767361	5.06	106.49
38113.788194	5.06	96.49
38113.809028	5.06	90.17
38113.829861	5.06	84.91
38113.850694	5.06	81.22
38113.871528	5.06	80.17
38113.892361	5.06	84.91
38113.913194	5.06	82.8
38113.934028	5.06	83.33
38113.954861	5.06	83.33
38113.975694	5.06	78.06
38113.996528	5.06	78.59
38114.017361	5.06	102.28
38114.038194	5.06	90.17
38114.059028	5.06	92.28
38114.079861	5.06	96.49
38114.100694	5.26	93.87
38114.121528	5.26	94.4
38114.142361	5.26	92.82
38114.163194	5.26	91.76
38114.184028	5.26	93.87
38114.204861	5.26	102.3
38114.225694	5.26	98.61
38114.246528	5.26	98.61
38114.267361	5.26	99.14
38114.288194	5.26	93.34
38114.309028	5.26	91.76
38114.329861	5.26	88.08
38114.350694	5.26	92.82
38114.371528	5.26	89.13
38114.392361	5.26	95.45
38114.413194	5.26	97.56
38114.434028	5.26	92.29
38114.454861	5.26	87.02
38114.475694	5.26	81.23
38114.496528	5.26	84.92
38114.517361	5.45	73.86
38114.538194	5.45	72.28
38114.559028	5.45	64.91
38114.579861	5.45	66.49
38114.600694	5.45	75.97
38114.621528	5.45	73.86
38114.642361	5.45	79.13
38114.663194	5.45	84.93
38114.684028	5.45	88.61
38114.704861	5.45	84.4
38114.725694	5.45	80.71
38114.746528	5.45	83.87
38114.767361	5.45	86.51
38114.788194	5.45	85.98
38114.809028	5.65	90.2
38114.829861	5.65	84.41
38114.850694	5.65	78.61
38114.871528	5.65	74.92
38114.892361	5.65	61.22
38114.913194	5.65	64.91
38114.934028	5.65	71.23
38114.954861	5.65	55.95
38114.975694	5.65	56.48
38114.996528	5.65	50.68
38115.017361	5.65	48.57
38115.038194	5.65	58.06
38115.059028	5.65	63.33
38115.079861	5.65	58.06
38115.100694	5.65	81.77
38115.121528	5.65	73.34
38115.142361	5.65	96
38115.163194	5.65	89.68
38115.184028	5.65	81.25
38115.204861	5.65	86.52
38115.225694	5.65	90.73
38115.246528	5.65	91.26
38115.267361	5.65	88.1
38115.288194	5.65	90.73
38115.309028	5.65	94.95
38115.329861	5.45	94.93
38115.350694	5.65	94.95
38115.371528	5.45	95.46
38115.392361	5.45	95.46
38115.413194	5.45	95.46
38115.434028	5.45	95.46
38115.454861	5.45	95.46
38115.475694	5.45	95.46
38115.496528	5.45	95.46
38115.517361	5.45	94.93
38115.538194	5.45	94.41
38115.559028	5.45	94.41
38115.579861	5.45	94.41
38115.600694	5.45	94.41
38115.621528	5.45	94.41
38115.642361	5.45	94.41
38115.663194	5.45	93.88
38115.684028	5.45	93.88
38115.704861	5.45	93.88
38115.725694	5.45	93.88
38115.746528	5.45	93.88
38115.767361	5.45	94.41
38115.788194	5.45	94.41
38115.809028	5.65	94.42
38115.829861	5.65	85.46
38115.850694	5.65	75.97
38115.871528	5.65	87.04
38115.892361	5.65	93.37
38115.913194	5.65	83.88
38115.934028	5.65	73.87
38115.954861	5.65	75.97
38115.975694	5.65	84.41
38115.996528	5.65	93.89
38116.017361	5.65	88.62
38116.038194	5.65	100.74
38116.059028	5.65	97.06
38116.079861	5.65	91.26
38116.100694	5.65	94.42
38116.121528	5.65	94.95
38116.142361	5.65	92.84
38116.163194	5.65	82.83
38116.184028	5.65	82.3
38116.204861	5.45	90.19
38116.225694	5.45	92.83
38116.246528	5.45	92.3
38116.267361	5.45	102.84
38116.288194	5.45	102.84
38116.309028	5.65	102.85
38116.329861	5.45	102.84
38116.350694	5.45	103.36
38116.371528	5.45	103.36
38116.392361	5.45	103.36
38116.413194	5.45	103.36
38116.434028	5.45	103.36
38116.454861	5.45	103.36
38116.475694	5.45	103.36
38116.496528	5.45	103.36
38116.517361	5.45	103.36
38116.538194	5.26	103.35
38116.559028	5.26	103.35
38116.579861	5.26	103.35
38116.600694	5.26	103.35
38116.621528	5.26	102.82
38116.642361	5.26	102.82
38116.663194	5.26	102.82
38116.684028	5.26	102.82
38116.704861	5.45	102.84
38116.725694	5.45	102.84
